record_id,timestamp,pond_id,day_of_cycle,hour_decimal,time_period,species,pond_volume_m3,stocking_density_kg_m3,biomass_kg,temperature_c,ph,dissolved_oxygen_mg_l,ammonia_mg_l,nitrite_mg_l,turbidity_ntu,feed_kg,aerator_command,aerator_status,aerator_fault,rainfall_mm,water_exchange_pct,sensor_quality_flag,fish_stress_event,risk_next_3h,dataset_split
AQUA-000001,2026-01-05 00:00,P01,1,0,dawn,Nila,52,15.77,820,27.2,7.2,5.59,0.16,0.132,38.6,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000002,2026-01-05 00:30,P01,1,0.5,dawn,Nila,52,15.77,820,26.99,7.19,5.61,0.156,0.159,30.8,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000003,2026-01-05 01:00,P01,1,1,dawn,Nila,52,15.77,820,26.76,7.17,5.55,0.177,0.161,33.7,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000004,2026-01-05 01:30,P01,1,1.5,dawn,Nila,52,15.77,820,27.13,7.16,5.55,,0.142,29.6,0,ON,ON,0,0,0,SENSOR_MISSING,0,0,TRAIN
AQUA-000005,2026-01-05 02:00,P01,1,2,dawn,Nila,52,15.77,820,26.99,7.12,5.52,0.15,0.136,28.7,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000006,2026-01-05 02:30,P01,1,2.5,dawn,Nila,52,15.77,820,26.88,7.13,5.65,0.179,0.138,32.3,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000007,2026-01-05 03:00,P01,1,3,dawn,Nila,52,15.77,820,26.95,7.16,5.63,0.139,0.149,33.8,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000008,2026-01-05 03:30,P01,1,3.5,dawn,Nila,52,15.77,820,26.84,7.14,5.34,0.153,0.139,37.5,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000009,2026-01-05 04:00,P01,1,4,dawn,Nila,52,15.77,820,26.72,7.22,5.28,0.14,0.135,35.3,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000010,2026-01-05 04:30,P01,1,4.5,dawn,Nila,52,15.77,820,26.84,7.14,5.47,0.162,0.146,33.3,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000011,2026-01-05 05:00,P01,1,5,dawn,Nila,52,15.77,820,26.92,7.19,5.59,0.139,0.136,35.2,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000012,2026-01-05 05:30,P01,1,5.5,dawn,Nila,52,15.77,820,27.15,7.18,5.58,0.155,0.13,29.4,0,ON,ON,0,0,0,OK,0,0,TRAIN
AQUA-000013,2026-01-05 06:00,P01,1,6,morning,Nila,52,15.77,820,27.19,7.12,5.09,0.13,0.134,32.5,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000014,2026-01-05 06:30,P01,1,6.5,morning,Nila,52,15.77,820,27.51,7.23,4.93,0.16,0.138,33.3,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000015,2026-01-05 07:00,P01,1,7,morning,Nila,52,15.77,820,27.65,7.26,4.8,0.145,0.131,35.2,9.54,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000016,2026-01-05 07:30,P01,1,7.5,morning,Nila,52,15.77,820,27.83,7.16,4.86,0.169,0.138,31.2,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000017,2026-01-05 08:00,P01,1,8,morning,Nila,52,15.77,820,27.86,7.3,5.2,0.14,0.128,40.2,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000018,2026-01-05 08:30,P01,1,8.5,morning,Nila,52,15.77,820,28.11,7.31,5.29,0.154,0.136,35.3,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000019,2026-01-05 09:00,P01,1,9,morning,Nila,52,15.77,820,28.28,7.32,5.08,0.149,0.129,38,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000020,2026-01-05 09:30,P01,1,9.5,morning,Nila,52,15.77,820,28.69,7.36,5.09,0.177,0.133,35,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000021,2026-01-05 10:00,P01,1,10,morning,Nila,52,15.77,820,28.95,7.35,5.43,0.166,0.14,32.3,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000022,2026-01-05 10:30,P01,1,10.5,morning,Nila,52,15.77,820,28.8,7.45,5.47,0.158,0.127,36,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000023,2026-01-05 11:00,P01,1,11,morning,Nila,52,15.77,820,29.44,7.44,5.68,0.134,0.147,33.6,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000024,2026-01-05 11:30,P01,1,11.5,morning,Nila,52,15.77,820,29.44,7.5,6,0.128,0.133,32.5,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000025,2026-01-05 12:00,P01,1,12,afternoon,Nila,52,15.77,820,29.52,7.43,5.8,0.128,0.134,39.6,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000026,2026-01-05 12:30,P01,1,12.5,afternoon,Nila,52,15.77,820,29.87,7.48,6.33,0.142,0.128,39.1,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000027,2026-01-05 13:00,P01,1,13,afternoon,Nila,52,15.77,820,29.57,7.51,6.13,0.189,0.139,31.5,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000028,2026-01-05 13:30,P01,1,13.5,afternoon,Nila,52,15.77,820,29.99,7.53,6.12,0.167,0.157,32.3,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000029,2026-01-05 14:00,P01,1,14,afternoon,Nila,52,15.77,820,29.79,7.54,6.4,0.157,0.139,32.2,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000030,2026-01-05 14:30,P01,1,14.5,afternoon,Nila,52,15.77,820,29.48,7.52,6.31,0.191,0.133,35.2,0,OFF,OFF,0,1.75,0,OK,0,0,TRAIN
AQUA-000031,2026-01-05 15:00,P01,1,15,afternoon,Nila,52,15.77,820,29.58,7.49,6.51,0.162,0.134,38.1,0,OFF,OFF,0,2.11,0,OK,0,0,TRAIN
AQUA-000032,2026-01-05 15:30,P01,1,15.5,afternoon,Nila,52,15.77,820,29.46,7.4,6.26,0.156,0.132,39.5,0,OFF,OFF,0,3.4,0,OK,0,0,TRAIN
AQUA-000033,2026-01-05 16:00,P01,1,16,afternoon,Nila,52,15.77,820,29.76,7.47,6.17,0.159,0.128,34.4,0,OFF,OFF,0,2.7,0,OK,0,0,TRAIN
AQUA-000034,2026-01-05 16:30,P01,1,16.5,afternoon,Nila,52,15.77,820,29.65,7.5,6.39,0.144,0.138,39.8,0,OFF,OFF,0,2.08,0,OK,0,0,TRAIN
AQUA-000035,2026-01-05 17:00,P01,1,17,afternoon,Nila,52,15.77,820,29.39,7.54,6.17,0.145,0.139,33.5,7.54,OFF,OFF,0,0.65,0,OK,0,0,TRAIN
AQUA-000036,2026-01-05 17:30,P01,1,17.5,afternoon,Nila,52,15.77,820,29.82,7.49,6.1,0.144,0.124,36.8,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000037,2026-01-05 18:00,P01,1,18,night,Nila,52,15.77,820,29.57,7.54,6.11,0.153,0.126,32.9,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000038,2026-01-05 18:30,P01,1,18.5,night,Nila,52,15.77,820,29.2,7.52,5.96,0.151,0.132,36.3,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000039,2026-01-05 19:00,P01,1,19,night,Nila,52,15.77,820,29.26,7.44,5.91,0.172,0.118,36.8,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000040,2026-01-05 19:30,P01,1,19.5,night,Nila,52,15.77,820,28.96,7.47,5.86,0.168,0.126,31.9,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000041,2026-01-05 20:00,P01,1,20,night,Nila,52,15.77,820,28.87,7.44,5.81,0.158,0.122,38,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000042,2026-01-05 20:30,P01,1,20.5,night,Nila,52,15.77,820,28.6,7.37,5.43,0.175,0.138,36.9,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000043,2026-01-05 21:00,P01,1,21,night,Nila,52,15.77,820,28.37,7.38,5.38,0.166,0.108,35.4,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
AQUA-000044,2026-01-05 21:30,P01,1,21.5,night,Nila,52,15.77,820,28.22,7.38,5.24,0.184,0.125,30.9,0,OFF,OFF,0,0,0,OK,0,0,TRAIN
